issue_d,Year_Month,loan_amnt,fico_range_low,dti,purpose,UNRATE,FEDFUNDS,loan_status,target
Dec-2015,2015-12,3600.0,675.0,5.91,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,24700.0,715.0,16.06,small_business,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,695.0,10.78,home_improvement,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10400.0,695.0,25.37,major_purchase,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,11950.0,690.0,10.2,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,680.0,14.67,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,20000.0,705.0,17.61,major_purchase,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,10000.0,685.0,13.07,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8000.0,700.0,34.8,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,1400.0,700.0,34.95,other,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,665.0,9.39,debt_consolidation,5.0,0.24,Charged Off,1
Dec-2015,2015-12,28000.0,720.0,21.6,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,9600.0,695.0,22.44,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,25000.0,745.0,26.02,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,18000.0,800.0,8.68,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,8650.0,675.0,25.49,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,29900.0,715.0,21.77,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,16000.0,685.0,33.18,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,28000.0,695.0,7.49,debt_consolidation,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,5000.0,665.0,12.7,credit_card,5.0,0.24,Fully Paid,0
Dec-2015,2015-12,6000.0,695.0,13.28,debt_consolidation,5.0,0.24,Fully Paid,0
