fico_band,dti_band,total_loans,total_exposure,avg_int_rate_pct,avg_pd_base_pct,avg_pd_severe_pct,total_expected_revenue,total_ecl_base,total_ecl_severe,total_ecl_gap,total_net_profit_base,total_net_profit_severe,net_margin_base_pct,net_margin_severe_pct,risk_adjusted_verdict
660 - 699 (Fair),10% - 20%,125092,1737994150.0,14.187928484632645,25.13262213802824,18.100210927837544,257476487.9949994,232054364.59526443,163055550.67099953,-68998813.92465019,25422123.39973563,94420937.3239996,1.4627277887981172,5.432753460303626,Marginal Margin (<2% Net Return)
660 - 699 (Fair),20% - 30%,94191,1332400275.0,15.368139737339996,32.13253206535765,22.919917001353205,214607771.77499986,228344799.2784462,159371696.08678818,-68973103.19309235,-13737027.503446264,55236075.68821193,-1.0309985490993887,4.145606746306918,Negative Net Profit (Halt Origination)
700 - 749 (Good),10% - 20%,65438,1018448150.0,11.301577065314152,16.34431976043142,14.01874730178186,119166708.84999956,87331593.26290512,72603566.00860882,-14728027.254382133,31835115.587094948,46563142.841391206,3.1258454921927,4.571969897671394,Strong Positive Return (>2% Net Margin)
700 - 749 (Good),20% - 30%,50995,797756825.0,12.53720894205362,22.042982455122758,18.587451683853565,104242750.05749986,93399466.48238564,76497173.15791512,-16902293.324417114,10843283.575114366,27745576.899584893,1.359221661953737,3.4779491732439762,Marginal Margin (<2% Net Return)
660 - 699 (Fair),0% - 10%,52018,665581125.0,13.640888154100546,21.159768138857,15.351070242773975,94016230.25999981,74387977.297081,52403618.4268198,-21984358.87108898,19628252.962919004,41612611.83318031,2.9490399029748633,6.252072102131849,Strong Positive Return (>2% Net Margin)
700 - 749 (Good),0% - 10%,28979,429140425.0,11.156464681321282,14.584857808626756,12.5787226735765,49358898.860000014,32857137.781277657,27273052.870269775,-5584084.910931587,16501761.078722328,22085845.98973025,3.845305666256524,5.1465312291961895,Strong Positive Return (>2% Net Margin)
660 - 699 (Fair),30% - 40%,30149,417671450.0,17.159211250788562,39.9918129740727,27.78251679828135,74680918.01000012,88542947.09137726,60295865.854091644,-28247081.238147736,-13862029.081377283,14385052.155908328,-3.318883558207601,3.4441071219754975,Negative Net Profit (Halt Origination)
700 - 749 (Good),30% - 40%,16884,253458800.0,14.589435560293447,29.977151687576697,23.743072911868392,38429156.055000015,40353098.72854233,31202291.06504059,-9150807.663654327,-1923942.6735423245,7226864.989959415,-0.7590751134079087,2.8512977217438946,Negative Net Profit (Halt Origination)
750 - 799 (Very Good),10% - 20%,16519,251611525.0,8.809844421575178,9.040102412747931,8.562211478719316,23056588.372499987,12290124.12417221,11101065.68370533,-1189058.4404668808,10766464.248327786,11955522.688794661,4.279002819257896,4.75157991621992,Strong Positive Return (>2% Net Margin)
750 - 799 (Very Good),0% - 10%,11135,169481825.0,9.072596317916535,8.71615405470889,8.193338734867678,16154644.537500001,8198349.421339989,7291668.904179096,-906680.5171608925,7956295.116159998,8862975.63332089,4.694482795520994,5.229454918437945,Strong Positive Return (>2% Net Margin)
750 - 799 (Very Good),20% - 30%,10011,147762400.0,9.757651583258488,13.40095289804145,12.619617593228808,15187852.852499992,10903902.213932991,9791171.586833,-1112730.6270942688,4283950.63856701,5396681.265667001,2.8992156587650237,3.65226963399823,Strong Positive Return (>2% Net Margin)
660 - 699 (Fair),40%+,3952,65264025.0,18.273787955465647,39.62799876698327,28.761309810427697,12158341.800000003,13223190.852478027,9460850.486671448,-3762340.366027832,-1064849.0524780275,2697491.3133285525,-1.6316018702156778,4.133197903942566,Negative Net Profit (Halt Origination)
800+ (Exceptional),0% - 10%,2975,49033100.0,7.730722689075593,5.294064183101184,4.968577729178076,4049602.122500002,1516320.9684548378,1315095.6434922218,-201225.32496261597,2533281.1540451637,2734506.4790077806,5.166471534626943,5.576858242713148,Strong Positive Return (>2% Net Margin)
800+ (Exceptional),10% - 20%,3008,46120725.0,7.6853490691488995,5.787992414007795,5.497364550172549,3785984.7350000003,1571146.6703090668,1395586.5214128494,-175560.1489572525,2214838.064690934,2390398.2135871504,4.802262030119722,5.182915519188284,Strong Positive Return (>2% Net Margin)
700 - 749 (Good),40%+,2291,42657625.0,15.104151025752925,29.00824915212817,24.625768497852924,6509240.737500001,6304334.379890442,5279831.624118805,-1024502.755771637,204906.3576095582,1229409.1133811944,0.48035106879381634,2.8820383539430394,Marginal Margin (<2% Net Return)
750 - 799 (Very Good),30% - 40%,2801,40187425.0,11.696579792931066,19.633042208267852,17.950233037529333,4888991.670000001,4230093.465965271,3720584.910013199,-509508.55595207214,658898.2040347288,1168406.7599868006,1.6395631320860415,2.9073939422264568,Marginal Margin (<2% Net Return)
800+ (Exceptional),20% - 30%,1476,21432550.0,8.308468834688338,8.65337859446733,8.329849152606194,1946039.0150000001,1114358.8471279144,994833.0766897202,-119525.77030086517,831680.1678720855,951205.93831028,3.8804536458428207,4.438137031339155,Strong Positive Return (>2% Net Margin)
750 - 799 (Very Good),40%+,405,7671850.0,11.08187654320988,17.03738556277973,16.8247146623922,872806.7825,680237.5967330933,661770.20703125,-18467.38970184326,192569.18576690674,211036.57546875,2.5100749593241103,2.7507912103175896,Strong Positive Return (>2% Net Margin)
800+ (Exceptional),30% - 40%,334,4666775.0,9.810119760479045,12.776111932973306,12.496942029652482,479666.9199999999,328608.30134391785,300752.25111579895,-27856.050228118896,151058.6186560822,178914.66888420103,3.2368952575618537,3.833796762950882,Strong Positive Return (>2% Net Margin)
800+ (Exceptional),40%+,53,1072950.0,8.595283018867923,9.759273214863157,11.253826843820653,90395.19000000002,49804.324127197266,57679.72414398193,7875.400016784668,40590.86587280274,32715.465856018065,3.783108800298498,3.0491137383865103,Strong Positive Return (>2% Net Margin)
