purpose,total_loans,total_exposure,avg_pd_base_pct,avg_pd_severe_pct,total_ecl_base,total_ecl_severe,total_ecl_gap
debt_consolidation,292557,4524399900.0,22.752121028906494,18.56617447953044,508979077.3292484,416310677.35980034,-92668399.96944809
credit_card,104171,1518720600.0,17.731067520713346,14.752553880924982,134198868.16154766,111832203.00717545,-22366665.154372215
home_improvement,39129,561110175.0,19.59327632759496,16.070823685902216,52613698.96744728,43435478.57528782,-9178220.392159462
other,36982,371562575.0,19.65811197959694,18.23566135714723,35128234.25960541,32882792.118148804,-2245442.141456604
major_purchase,13147,165780925.0,19.161431179739292,14.817341451842067,14978710.44430542,11615644.095098495,-3363066.3492069244
small_business,5576,91156450.0,31.433286763984214,29.223854036085108,13929695.84489441,12989095.128391266,-940600.7165031433
house,3717,59644350.0,24.595449913572747,19.86765417488097,6951676.512262344,5626871.028657913,-1324805.4836044312
medical,7379,68331025.0,21.277474244113197,18.280552178853522,6897233.267015457,5982036.058916092,-915197.2080993652
car,6108,55987675.0,17.831067644613448,16.30212899535948,4868975.267897606,4472700.526500702,-396274.741396904
moving,4244,34111700.0,22.088483738748955,17.644953697789933,3670003.9705200195,2943871.329126358,-726132.6413936615
vacation,4419,27615575.0,19.364896881924977,16.786341544330917,2594498.092060089,2252425.9978790283,-342072.0941810608
renewable_energy,375,3888000.0,22.540066821376485,18.741629839936895,419021.6354312897,352960.09827423096,-66061.53715705872
wedding,3,24875.0,14.302800595760345,13.298459351062775,1887.0582885742188,1752.3583679199219,-134.69992065429688
