purpose,total_loans,total_exposure,avg_int_rate,avg_pd_base_pct,total_expected_revenue,total_ecl_base,total_net_profit_base,net_margin_base_pct
debt_consolidation,293091,4535281450.0,13.84726272727278,24.901120818574167,650540243.1575036,587537924.7802682,63002318.377232224,1.389160057028704
credit_card,104329,1521971050.0,12.023902270700605,20.17366146028929,188978589.5474993,159533270.29206848,29445319.255431578,1.9346832684781736
home_improvement,39209,562481375.0,12.665350812314578,19.744801438357765,74415722.77250004,57684762.4160862,16730960.356413769,2.9744914409679373
other,37050,372427175.0,14.183763562753864,22.13545394747288,54805395.54000003,42898037.25880051,11907358.281199448,3.1972313194383437
major_purchase,13161,165964125.0,12.95817415090034,20.620062857042313,22866561.865000032,18169575.348496437,4696986.516503557,2.830121579891773
small_business,5583,91252575.0,15.56130933190051,35.35639869898942,14521834.889999993,16111064.87858963,-1589229.98858963,-1.741572759551859
medical,7390,68435450.0,13.465209742895981,21.779436664807033,9503987.272499995,7564148.347269058,1939838.9252309445,2.8345527431045525
house,3723,59756050.0,14.936070373354768,23.355866514502548,8961322.892499996,6762065.867794037,2199257.0247059637,3.6803922359425765
car,6112,56007775.0,12.32175065445023,18.503183638174157,7168751.274999996,5433991.819538116,1734759.4554618842,3.097354707381045
moving,4257,34281000.0,14.53252525252517,23.62379163238055,5096631.319999999,4067002.6259908676,1029628.6940091327,3.0034966716523224
vacation,4423,27643075.0,13.05645941668542,19.761817331299298,3699826.642500001,2766634.400642395,933192.2418576045,3.3758626413942894
renewable_energy,375,3888000.0,14.963840000000003,26.385610538969438,596224.1975,518694.2994937897,77529.89800621031,1.9940817388428578
wedding,3,24875.0,18.443333333333335,21.303359915812813,3985.2249999999995,1871.5047912597656,2113.7202087402343,8.497367673327574
